GameKey,PlayerID,SeasonType,Season,GameDate,Week,Team,Opponent,HomeOrAway,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPointsPPR,FantasyPosition,PlayerGameID,ExtraPointsAttempted,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,InjuryStatus,TeamID,OpponentID,ScoreID,SnapCountsConfirmed
202211504,19801,1,2022,2022-12-17T20:15:00,15,BUF,MIA,HOME,17,Josh Allen,QB,OFF,1,1,40.0,25.0,304.0,62.5,7.6,12.2,4.0,0.0,119.17,45.0,2.0,8.0,10.0,77.0,7.7,0.0,44.0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.86,35.86,QB,990893797,0.0,35.86,0.0,0.0,0.0,0.0,0.0,39.86,,4,19,18207,True
202211506,21831,1,2022,2022-12-18T13:00:00,15,PHI,CHI,AWAY,1,Jalen Hurts,QB,OFF,1,1,37.0,22.0,315.0,59.5,8.5,14.3,0.0,2.0,64.58,68.0,1.0,6.0,17.0,61.0,3.6,3.0,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.7,34.7,QB,990894076,0.0,36.7,0.0,0.0,0.0,0.0,0.0,39.7,,26,6,18212,True
202211513,18890,1,2022,2022-12-18T13:00:00,15,KC,HOU,AWAY,15,Patrick Mahomes,QB,OFF,1,1,41.0,36.0,336.0,87.8,8.2,9.3,2.0,0.0,117.07,21.0,2.0,23.0,5.0,33.0,6.6,1.0,14.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.74,32.74,QB,990894487,0.0,32.74,0.0,0.0,0.0,0.0,0.0,35.74,,16,13,18216,True
202211520,14252,1,2022,2022-12-17T13:00:00,15,MIN,IND,HOME,8,Kirk Cousins,QB,OFF,1,1,54.0,34.0,460.0,63.0,8.5,13.5,4.0,2.0,99.31,64.0,7.0,34.0,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.4,32.4,QB,990893416,0.0,34.4,0.0,0.0,0.0,0.0,0.0,37.4,,20,14,18209,True
202211535,23260,1,2022,2022-12-18T20:20:00,15,NYG,WAS,AWAY,5,Kayvon Thibodeaux,OLB,DEF,1,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,1.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,29.4,LB,990896094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,23,35,18211,True
202211515,18926,1,2022,2022-12-18T13:00:00,15,JAX,DAL,HOME,7,Zay Jones,WR,OFF,1,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,6.0,109.0,18.2,3.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,34.9,WR,990894267,0.0,31.9,0.0,0.0,0.0,0.0,0.0,37.9,,15,9,18215,True
202211515,19026,1,2022,2022-12-18T13:00:00,15,JAX,DAL,HOME,2,Rayshawn Jenkins,S,DEF,1,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,27.5,DB,990894270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,15,9,18215,True
202211515,22490,1,2022,2022-12-18T13:00:00,15,JAX,DAL,HOME,16,Trevor Lawrence,QB,OFF,1,1,42.0,27.0,318.0,64.3,7.6,11.8,4.0,1.0,109.03,59.0,1.0,7.0,3.0,21.0,7,0.0,11.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82,26.82,QB,990894294,0.0,27.82,0.0,0.0,0.0,0.0,0.0,31.82,,15,9,18215,True
202211513,16510,1,2022,2022-12-18T13:00:00,15,KC,HOU,AWAY,1,Jerick McKinnon,RB,OFF,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,10.0,52.0,5.2,1.0,26.0,8.0,8.0,70.0,8.8,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.2,34.2,RB,990894480,0.0,30.2,0.0,0.0,0.0,0.0,0.0,34.2,,16,13,18216,True
202211533,21693,1,2022,2022-12-18T16:25:00,15,CIN,TB,AWAY,9,Joe Burrow,QB,OFF,1,1,39.0,27.0,200.0,69.2,5.1,7.4,4.0,1.0,104.65,19.0,2.0,16.0,3.0,8.0,2.7,0.0,10.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.8,24.8,QB,990895372,0.0,25.8,0.0,0.0,0.0,0.0,0.0,25.8,,7,33,18219,True
