GameKey,SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,HomeOrAway,TeamID,OpponentID,ScoreID
202311006,1,2023,10,2023-11-09T20:15:00,CAR,CHI,21.1,0.2,2.3,0.0,0.6,0.6,0.0,0.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,6.7,21.1,0.0,6.7,6.7,5,AWAY,5,6,18385
202311006,1,2023,10,2023-11-09T20:15:00,CHI,CAR,17.7,0.2,2.8,0.0,0.6,0.6,0.0,0.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.0,17.7,0.0,8.0,8.0,38,HOME,6,5,18385
202311021,1,2023,10,2023-11-12T09:30:00,IND,NE,21.0,0.2,2.3,0.0,0.6,0.6,0.0,0.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,6.5,21.0,0.0,6.5,6.5,14,AWAY,14,21,18336
202311021,1,2023,10,2023-11-12T09:30:00,NE,IND,21.9,0.2,2.2,0.0,0.6,0.6,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,6.2,21.9,0.0,6.2,6.2,21,HOME,21,14,18336
202311003,1,2023,10,2023-11-12T13:00:00,CLE,BAL,22.4,0.2,2.5,0.0,0.7,0.6,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,6.3,22.4,0.0,6.3,6.3,8,AWAY,8,3,18391
202311003,1,2023,10,2023-11-12T13:00:00,BAL,CLE,16.2,0.2,3.0,0.0,0.8,0.7,0.0,0.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.4,16.2,0.0,8.4,8.4,36,HOME,3,8,18391
202311007,1,2023,10,2023-11-12T13:00:00,HOU,CIN,26.0,0.1,2.2,0.0,0.5,0.5,0.0,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,5.4,26.0,0.0,5.4,5.4,13,AWAY,13,7,18386
202311007,1,2023,10,2023-11-12T13:00:00,CIN,HOU,20.4,0.2,2.4,0.0,0.7,0.6,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,7.4,20.4,0.0,7.4,7.4,7,HOME,7,13,18386
202311015,1,2023,10,2023-11-12T13:00:00,SF,JAX,20.7,0.2,2.7,0.0,0.7,0.6,0.0,0.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,7.9,20.7,0.0,7.9,7.9,93,AWAY,31,15,18390
202311015,1,2023,10,2023-11-12T13:00:00,JAX,SF,23.5,0.1,2.0,0.0,0.6,0.6,0.0,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,5.4,23.5,0.0,5.4,5.4,52,HOME,15,31,18390
202311020,1,2023,10,2023-11-12T13:00:00,NO,MIN,19.5,0.2,2.6,0.0,0.7,0.7,0.0,0.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.0,19.5,0.0,8.0,8.0,69,AWAY,22,20,18387
202311020,1,2023,10,2023-11-12T13:00:00,MIN,NO,21.7,0.2,2.3,0.0,0.6,0.6,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,6.3,21.7,0.0,6.3,6.3,67,HOME,20,22,18387
202311028,1,2023,10,2023-11-12T13:00:00,GB,PIT,20.8,0.2,2.4,0.0,0.6,0.6,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,7.4,20.8,0.0,7.4,7.4,12,AWAY,12,28,18388
202311028,1,2023,10,2023-11-12T13:00:00,PIT,GB,17.8,0.2,2.8,0.0,0.8,0.7,0.0,0.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.4,17.8,0.0,8.4,8.4,28,HOME,28,12,18388
202311033,1,2023,10,2023-11-12T13:00:00,TEN,TB,20.3,0.2,2.1,0.0,0.6,0.6,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,7.1,20.3,0.0,7.1,7.1,34,AWAY,34,33,18389
202311033,1,2023,10,2023-11-12T13:00:00,TB,TEN,18.9,0.2,2.9,0.0,0.7,0.6,0.0,0.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.1,18.9,0.0,8.1,8.1,95,HOME,33,34,18389
202311001,1,2023,10,2023-11-12T16:05:00,ATL,ARI,20.7,0.2,2.4,0.0,0.6,0.6,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,7.4,20.7,0.0,7.4,7.4,2,AWAY,2,1,18392
202311001,1,2023,10,2023-11-12T16:05:00,ARI,ATL,22.4,0.2,2.2,0.0,0.6,0.5,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,6.0,22.4,0.0,6.0,6.0,1,HOME,1,2,18392
202311029,1,2023,10,2023-11-12T16:05:00,DET,LAC,23.5,0.2,2.2,0.0,0.6,0.6,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,6.2,23.5,0.0,6.2,6.2,11,AWAY,11,29,18393
202311029,1,2023,10,2023-11-12T16:05:00,LAC,DET,24.8,0.1,2.2,0.0,0.7,0.6,0.0,0.6,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,5.4,24.8,0.0,5.4,5.4,84,HOME,29,11,18393
202311009,1,2023,10,2023-11-12T16:25:00,NYG,DAL,28.0,0.1,2.1,0.0,0.5,0.5,0.0,0.6,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,4.1,28.0,0.0,4.1,4.1,75,AWAY,23,9,18394
202311009,1,2023,10,2023-11-12T16:25:00,DAL,NYG,11.4,0.2,3.5,0.0,0.8,0.7,0.0,1.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,12.3,11.4,0.0,12.3,12.3,48,HOME,9,23,18394
202311030,1,2023,10,2023-11-12T16:25:00,WAS,SEA,25.2,0.1,2.3,0.0,0.6,0.5,0.0,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,5.5,25.2,0.0,5.5,5.5,97,AWAY,35,30,18395
202311030,1,2023,10,2023-11-12T16:25:00,SEA,WAS,19.4,0.2,3.5,0.0,0.6,0.6,0.0,0.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.9,19.4,0.0,8.9,8.9,90,HOME,30,35,18395
202311025,1,2023,10,2023-11-12T20:20:00,NYJ,LV,17.8,0.2,2.8,0.0,0.7,0.6,0.0,0.9,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.2,17.8,0.0,8.2,8.2,82,AWAY,24,25,18396
202311025,1,2023,10,2023-11-12T20:20:00,LV,NYJ,18.4,0.2,2.8,0.0,0.6,0.6,0.0,0.8,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.0,18.4,0.0,8.0,8.0,83,HOME,25,24,18396
202311004,1,2023,10,2023-11-13T20:15:00,DEN,BUF,27.0,0.1,1.8,0.0,0.5,0.5,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,5.2,27.0,0.0,5.2,5.2,49,AWAY,10,4,18397
202311004,1,2023,10,2023-11-13T20:15:00,BUF,DEN,19.6,0.2,3.0,0.0,0.7,0.6,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,8.0,19.6,0.0,8.0,8.0,37,HOME,4,10,18397
