SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID,AverageDraftPositionDynasty,AverageDraftPosition2QB
1,2023,SF,277.0,2.8,47.4,307.0,16.0,10.5,1.2,14.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,17,121.0,77.0,2.8,0,114.0,267.0,1,1,0.0,114.0,114.0,93,116.0,100.0,31,137.7,123.6
1,2023,PHI,344.0,2.7,51.3,491.0,15.0,10.3,1.0,13.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,17,124.0,97.0,2.7,0,115.0,324.0,2,1,0.0,115.0,115.0,26,132.0,118.0,26,165.8,139.9
1,2023,DAL,342.0,3.1,46.8,352.0,22.0,11.8,1.2,14.4,1.9,2.0,0.0,0.0,0.0,0.0,0.0,17,110.0,93.0,3.1,0,118.0,324.0,1,1,0.0,122.0,122.0,48,134.0,125.0,9,146.5,135.6
1,2023,BUF,293.0,4.7,43.4,288.0,11.0,10.3,1.1,15.3,1.6,1.0,2.0,1.12,1.12,0.0,0.0,17,99.0,92.0,2.7,2,130.0,285.0,1,1,0.0,132.0,132.0,37,142.0,128.0,4,128.9,137.6
1,2023,BAL,315.0,3.4,44.6,305.0,14.0,10.5,1.1,13.5,1.3,2.0,0.0,0.45,0.45,0.0,0.0,17,95.0,77.0,2.4,1,114.0,309.0,1,0,0.0,118.0,118.0,36,156.0,152.0,3,143.0,149.9
1,2023,NE,347.0,3.2,46.1,348.0,13.0,9.8,1.1,14.9,1.1,1.0,0.0,0.53,0.53,0.0,0.0,17,93.0,72.0,2.2,1,116.0,335.0,1,1,0.0,118.0,118.0,21,157.0,139.0,21,158.5,148.6
1,2023,NYJ,316.0,3.3,44.8,306.0,11.0,8.7,0.9,13.5,1.4,3.0,2.0,0.45,0.45,0.0,0.0,17,128.0,81.0,2.3,1,112.0,314.0,1,1,0.0,118.0,118.0,82,161.0,157.0,24,,146.8
1,2023,PIT,346.0,2.2,48.5,287.0,9.0,8.7,0.9,14.5,1.3,2.0,0.0,0.0,0.0,0.0,0.0,17,83.0,68.0,2.2,0,107.0,340.0,1,1,0.0,111.0,111.0,28,166.0,164.0,28,164.0,161.0
1,2023,NO,345.0,2.3,45.3,279.0,12.0,9.2,0.9,13.6,1.4,1.0,0.0,0.0,0.0,0.0,0.0,17,87.0,77.0,2.3,0,103.0,321.0,1,1,0.0,105.0,105.0,69,168.0,165.0,22,169.7,140.9
1,2023,MIA,399.0,3.7,45.2,290.0,13.0,10.1,0.9,13.5,1.8,2.0,1.0,0.53,0.53,0.0,0.0,17,102.0,75.0,2.7,1,116.0,383.0,1,1,0.0,120.0,120.0,64,189.0,180.0,19,175.5,156.8
1,2023,WAS,343.0,2.3,45.7,279.0,8.0,9.8,0.9,12.2,1.4,0.0,1.0,0.0,0.0,0.0,0.0,17,108.0,89.0,2.3,0,105.0,329.0,1,1,0.0,105.0,105.0,97,191.0,200.0,35,176.0,153.2
1,2023,KC,369.0,2.4,45.4,388.0,12.0,10.0,0.9,13.4,1.5,0.0,1.0,0.0,0.0,0.0,0.0,17,118.0,85.0,2.4,0,108.0,369.0,1,0,0.0,108.0,108.0,55,195.0,175.0,16,156.8,161.5
1,2023,JAX,350.0,1.9,40.3,203.0,17.0,10.7,0.9,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,113.0,80.0,1.9,0,98.0,350.0,0,0,0.0,98.0,98.0,52,203.0,190.0,15,172.0,
1,2023,DEN,359.0,2.0,39.6,245.0,16.0,9.2,0.9,13.2,1.1,1.0,1.0,0.0,0.0,0.0,0.0,17,81.0,64.0,2.0,0,98.0,341.0,1,0,0.0,100.0,100.0,49,204.0,203.0,10,159.0,152.6
1,2023,SEA,401.0,3.0,44.0,296.0,17.0,9.8,0.9,13.5,1.1,1.0,0.0,0.47,0.47,0.0,0.0,17,98.0,75.0,2.0,1,109.0,387.0,0,0,0.0,111.0,111.0,90,228.0,231.0,30,,
1,2023,CIN,325.0,2.1,40.0,163.0,14.0,9.9,0.9,12.9,1.2,2.0,0.0,0.0,0.0,0.0,0.0,17,94.0,54.0,2.1,0,98.0,313.0,1,0,0.0,102.0,102.0,7,233.0,214.0,7,,161.1
1,2023,GB,371.0,3.7,41.6,204.0,12.0,9.1,1.1,14.1,1.6,2.0,1.0,0.59,0.59,0.0,0.0,17,87.0,68.0,2.7,1,115.0,363.0,1,1,0.0,119.0,119.0,12,244.0,176.0,12,,157.1
1,2023,CLE,381.0,3.2,44.0,211.0,11.0,9.6,1.1,13.3,1.1,1.0,0.0,0.58,0.58,0.0,0.0,17,66.0,68.0,2.2,1,110.0,379.0,1,1,0.0,112.0,112.0,8,253.0,233.0,8,175.5,154.7
1,2023,TEN,359.0,2.2,39.9,264.0,11.0,8.8,0.9,13.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,17,104.0,76.0,2.2,0,98.0,347.0,0,0,0.0,98.0,98.0,34,259.0,300.0,34,,
1,2023,MIN,427.0,3.0,38.1,241.0,11.0,9.5,1.1,13.0,0.9,3.0,0.0,0.43,0.43,0.0,0.0,17,88.0,81.0,2.0,1,101.0,415.0,0,0,0.0,107.0,107.0,67,263.0,250.0,20,,
1,2023,TB,358.0,2.0,42.2,331.0,12.0,10.9,0.9,9.8,1.1,1.0,0.0,0.0,0.0,0.0,0.0,17,104.0,89.0,2.0,0,96.0,358.0,1,0,0.0,98.0,98.0,95,265.0,295.0,33,,146.7
1,2023,NYG,371.0,2.2,40.8,271.0,20.0,10.5,0.9,12.3,1.3,1.0,0.0,0.0,0.0,0.0,0.0,17,106.0,73.0,2.2,0,100.0,369.0,0,0,0.0,102.0,102.0,75,271.0,247.0,23,,
1,2023,LAC,384.0,2.2,42.6,287.0,15.0,10.2,0.9,13.1,1.3,1.0,1.0,0.0,0.0,0.0,0.0,17,76.0,76.0,2.2,0,104.0,378.0,0,0,0.0,106.0,106.0,84,272.0,251.0,29,,155.7
1,2023,DET,427.0,3.0,41.3,267.0,14.0,10.0,0.8,10.5,1.2,0.0,1.0,0.49,0.49,0.0,0.0,17,100.0,76.0,2.0,1,102.0,407.0,0,0,0.0,102.0,102.0,11,276.0,253.0,11,,
