Week,Team,Model,Opponent,Player,ResolvedName,Position,Points
1,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_Opus_4.1_Team_5__Claude Sonnet 4,Trevor Lawrence,Trevor Lawrence,QB,11.28
1,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_Opus_4.1_Team_5__Claude Sonnet 4,Bucky Irving,Bucky Irving,RB,9.60
1,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_Opus_4.1_Team_5__Claude Sonnet 4,Jayden Reed,Jayden Reed,WR,33.10
1,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_Opus_4.1_Team_5__Claude Sonnet 4,DJ Turner,DJ Turner,WR,1.90
1,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_Opus_4.1_Team_5__Claude Sonnet 4,Davis Allen,Davis Allen,TE,0.00
1,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_Opus_4.1_Team_5__Claude Sonnet 4,Brevyn Spann-Ford,Brevyn Spann-Ford,TE,0.00
1,Claude_Opus_4.1_Team_5__Claude Sonnet 4,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,C.J. Stroud,C.J. Stroud,QB,18.66
1,Claude_Opus_4.1_Team_5__Claude Sonnet 4,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,Josh Jacobs,Josh Jacobs,RB,12.40
1,Claude_Opus_4.1_Team_5__Claude Sonnet 4,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,Rachaad White,Rachaad White,RB,16.60
1,Claude_Opus_4.1_Team_5__Claude Sonnet 4,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,CeeDee Lamb,CeeDee Lamb,WR,13.60
1,Claude_Opus_4.1_Team_5__Claude Sonnet 4,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,Puka Nacua,Puka Nacua,WR,8.20
1,Claude_Opus_4.1_Team_5__Claude Sonnet 4,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,George Kittle,George Kittle,TE,8.00
1,Claude_Opus_4.1_Team_5__Claude Sonnet 4,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,Jakobi Meyers,Jakobi Meyers,WR,9.40
1,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_Opus_4.1_Team_5__Claude Sonnet 4,TOTAL,,,55.88
1,Claude_Opus_4.1_Team_5__Claude Sonnet 4,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-sonnet-4-20250514-v1:0,Meta_Llama_3.1_405B_Team_3__Claude 3.5 Sonnet C,TOTAL,,,86.86
1,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,Tua Tagovailoa,Tua Tagovailoa,QB,18.62
1,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,De'Von Achane,De'Von Achane,RB,23.00
1,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,Joe Mixon,Joe Mixon,RB,26.80
1,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,A.J. Brown,A.J. Brown,WR,22.90
1,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,3.90
1,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,Isaiah Likely,Isaiah Likely,TE,26.10
1,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.meta.llama3-1-405b-instruct-v1:0,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,D'Andre Swift,D'Andre Swift,RB,3.00
1,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,Brock Purdy,Brock Purdy,QB,10.34
1,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,Saquon Barkley,Saquon Barkley,RB,33.20
1,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,Tony Pollard,Tony Pollard,RB,18.40
1,Meta_Llama_3.1_70B_Team_7__Claude 3.5 Sonnet B,arn:aws:bedrock:us-east-2:851725383897:inference-profile/us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude_3.5_Sonnet_Team_1__Meta Llama 3.1 405B,Ja'Marr Chase,Ja'Marr Chase,WR,12.20
