Name,Team,Position,FantasyPoints,Model,ModelName
Amon-Ra St. Brown,DET,WR,316.18,google/gemini-2.5-pro,Gemini 2.5 Pro
Jahmyr Gibbs,DET,RB,362.90,google/gemini-2.5-pro,Gemini 2.5 Pro
Sam LaPorta,DET,TE,174.60,google/gemini-2.5-pro,Gemini 2.5 Pro
Garrett Wilson,NYJ,WR,249.90,google/gemini-2.5-pro,Gemini 2.5 Pro
Kyler Murray,ARI,QB,295.24,google/gemini-2.5-pro,Gemini 2.5 Pro
James Conner,ARI,RB,249.80,google/gemini-2.5-pro,Gemini 2.5 Pro
Joe Mixon,HOU,RB,240.50,google/gemini-2.5-pro,Gemini 2.5 Pro
Calvin Ridley,TEN,WR,199.20,google/gemini-2.5-pro,Gemini 2.5 Pro
Diontae Johnson,HOU,WR,89.10,google/gemini-2.5-pro,Gemini 2.5 Pro
Zack Moss,CIN,RB,81.90,google/gemini-2.5-pro,Gemini 2.5 Pro
Gus Edwards,LAC,RB,64.10,google/gemini-2.5-pro,Gemini 2.5 Pro
Jakobi Meyers,LV,WR,216.00,google/gemini-2.5-pro,Gemini 2.5 Pro
