Name,Team,Position,FantasyPoints,Model
Cooper Kupp,LAR,WR,175.00,moonshotai/kimi-k2-0905
De'Von Achane,MIA,RB,299.90,moonshotai/kimi-k2-0905
Aaron Jones,MIN,RB,241.60,moonshotai/kimi-k2-0905
Dalton Schultz,HOU,TE,118.20,moonshotai/kimi-k2-0905
Jake Ferguson,DAL,TE,104.40,moonshotai/kimi-k2-0905
Courtland Sutton,DEN,WR,240.30,moonshotai/kimi-k2-0905
Pat Freiermuth,PIT,TE,168.30,moonshotai/kimi-k2-0905
Juwan Johnson,NO,TE,122.80,moonshotai/kimi-k2-0905
Cole Kmet,CHI,TE,118.40,moonshotai/kimi-k2-0905
Tony Pollard,TEN,RB,198.70,moonshotai/kimi-k2-0905
Jayden Reed,GB,WR,197.00,moonshotai/kimi-k2-0905
Josh Allen,BUF,QB,377.04,moonshotai/kimi-k2-0905
