Week,Team,Model,Opponent,Player,ResolvedName,Position,Points
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,Claude_Opus_4.1_Team_8,Josh Allen,Josh Allen,QB,51.88
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,Claude_Opus_4.1_Team_8,De'Von Achane,De'Von Achane,RB,18.90
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,Claude_Opus_4.1_Team_8,Aaron Jones,Aaron Jones,RB,16.40
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,Claude_Opus_4.1_Team_8,Cooper Kupp,Cooper Kupp,WR,20.20
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,Claude_Opus_4.1_Team_8,Courtland Sutton,Courtland Sutton,WR,0.00
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,Claude_Opus_4.1_Team_8,Pat Freiermuth,Pat Freiermuth,TE,13.80
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,Claude_Opus_4.1_Team_8,Tony Pollard,Tony Pollard,RB,14.40
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Llama_4_Maverick_Team_7,Justin Herbert,Justin Herbert,QB,13.72
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Llama_4_Maverick_Team_7,Rhamondre Stevenson,Rhamondre Stevenson,RB,0.00
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Llama_4_Maverick_Team_7,Zamir White,Zamir White,RB,0.00
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Llama_4_Maverick_Team_7,Ja'Marr Chase,Ja'Marr Chase,WR,45.10
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Llama_4_Maverick_Team_7,Puka Nacua,Puka Nacua,WR,41.80
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Llama_4_Maverick_Team_7,George Kittle,George Kittle,TE,21.10
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Llama_4_Maverick_Team_7,Justin Jefferson,Justin Jefferson,WR,32.20
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,Claude_Opus_4.1_Team_8,TOTAL,,,135.58
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Llama_4_Maverick_Team_7,TOTAL,,,153.92
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Jordan Love,Jordan Love,QB,14.54
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Josh Jacobs,Josh Jacobs,RB,24.60
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Kyren Williams,Kyren Williams,RB,23.70
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,A.J. Brown,A.J. Brown,WR,8.30
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,DJ Moore,DJ Moore,WR,10.90
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Travis Kelce,Travis Kelce,TE,9.50
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Chuba Hubbard,Chuba Hubbard,RB,20.70
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,Tua Tagovailoa,Tua Tagovailoa,QB,21.54
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,Derrick Henry,Derrick Henry,RB,0.00
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,James Cook,James Cook,RB,4.90
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,DK Metcalf,DK Metcalf,WR,8.90
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,Tank Dell,Tank Dell,WR,0.00
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,David Njoku,David Njoku,TE,17.20
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,Najee Harris,Najee Harris,RB,11.30
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,TOTAL,,,112.24
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,TOTAL,,,63.84
14,Kimi_K2_Team_4,qwen/qwen3-max,Gemini_2.5_Flash_Team_6,Patrick Mahomes,Patrick Mahomes,QB,14.10
14,Kimi_K2_Team_4,qwen/qwen3-max,Gemini_2.5_Flash_Team_6,Brian Robinson Jr.,Brian Robinson Jr.,RB,0.00
14,Kimi_K2_Team_4,qwen/qwen3-max,Gemini_2.5_Flash_Team_6,David Montgomery,David Montgomery,RB,19.40
14,Kimi_K2_Team_4,qwen/qwen3-max,Gemini_2.5_Flash_Team_6,Jaylen Waddle,Jaylen Waddle,WR,18.90
14,Kimi_K2_Team_4,qwen/qwen3-max,Gemini_2.5_Flash_Team_6,George Pickens,George Pickens,WR,0.00
14,Kimi_K2_Team_4,qwen/qwen3-max,Gemini_2.5_Flash_Team_6,Mark Andrews,Mark Andrews,TE,0.00
14,Kimi_K2_Team_4,qwen/qwen3-max,Gemini_2.5_Flash_Team_6,Jordan Addison,Jordan Addison,WR,39.30
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Kimi_K2_Team_4,Lamar Jackson,Lamar Jackson,QB,0.00
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Kimi_K2_Team_4,Alvin Kamara,Alvin Kamara,RB,12.90
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Kimi_K2_Team_4,D'Andre Swift,D'Andre Swift,RB,5.00
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Kimi_K2_Team_4,Rashee Rice,Rashee Rice,WR,0.00
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Kimi_K2_Team_4,Christian Kirk,Christian Kirk,WR,0.00
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Kimi_K2_Team_4,Evan Engram,Evan Engram,TE,7.30
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Kimi_K2_Team_4,Tyler Lockett,Tyler Lockett,WR,0.00
14,Kimi_K2_Team_4,qwen/qwen3-max,Gemini_2.5_Flash_Team_6,TOTAL,,,91.70
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Kimi_K2_Team_4,TOTAL,,,25.20
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,GPT_OSS_Team_3,Brock Purdy,Brock Purdy,QB,22.10
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,GPT_OSS_Team_3,Saquon Barkley,Saquon Barkley,RB,12.40
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,GPT_OSS_Team_3,Jaylen Warren,Jaylen Warren,RB,9.20
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,GPT_OSS_Team_3,CeeDee Lamb,CeeDee Lamb,WR,21.40
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,GPT_OSS_Team_3,Mike Evans,Mike Evans,WR,10.90
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,GPT_OSS_Team_3,Kyle Pitts,Kyle Pitts,TE,2.40
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,GPT_OSS_Team_3,DeVonta Smith,DeVonta Smith,WR,13.70
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Qwen_3_Max_Team_1,Jared Goff,Jared Goff,QB,22.02
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Qwen_3_Max_Team_1,Bijan Robinson,Bijan Robinson,RB,18.10
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Qwen_3_Max_Team_1,Jerome Ford,Jerome Ford,RB,7.70
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Qwen_3_Max_Team_1,Terry McLaurin,Terry McLaurin,WR,0.00
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Qwen_3_Max_Team_1,Nico Collins,Nico Collins,WR,0.00
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Qwen_3_Max_Team_1,Trey McBride,Trey McBride,TE,14.00
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Qwen_3_Max_Team_1,Isiah Pacheco,Isiah Pacheco,RB,8.10
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,GPT_OSS_Team_3,TOTAL,,,92.10
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Qwen_3_Max_Team_1,TOTAL,,,69.92
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Joe Burrow,Joe Burrow,QB,24.56
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Travis Etienne Jr.,Travis Etienne Jr.,RB,11.00
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Raheem Mostert,Raheem Mostert,RB,0.00
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,19.60
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Jerry Jeudy,Jerry Jeudy,WR,17.40
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Brock Bowers,Brock Bowers,TE,8.20
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Davante Adams,Davante Adams,WR,25.90
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Kyler Murray,Kyler Murray,QB,15.96
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Jahmyr Gibbs,Jahmyr Gibbs,RB,19.30
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Joe Mixon,Joe Mixon,RB,0.00
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Amon-Ra St. Brown,Amon-Ra St. Brown,WR,10.30
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Jakobi Meyers,Jakobi Meyers,WR,13.70
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Sam LaPorta,Sam LaPorta,TE,10.40
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,James Conner,James Conner,RB,22.20
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,TOTAL,,,106.66
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,TOTAL,,,91.86
