Rank,Name,Team,Position,FantasyPoints
1,Jalen Hurts,PHI,QB,346.15
2,Josh Allen,BUF,QB,344.85
3,Christian McCaffrey,SF,RB,334.77
4,CeeDee Lamb,DAL,WR,332.63
5,Patrick Mahomes,KC,QB,326.48
6,Lamar Jackson,BAL,QB,317.86
7,Tyreek Hill,MIA,WR,316.94
8,C.J. Stroud,HOU,QB,304.67
9,Dak Prescott,DAL,QB,300.12
10,Anthony Richardson,IND,QB,297.81
11,Breece Hall,NYJ,RB,295.84
12,Joe Burrow,CIN,QB,293.53
13,Amon-Ra St. Brown,DET,WR,291.76
14,Kyler Murray,ARI,QB,290.28
15,Jordan Love,GB,QB,289.55
16,Bijan Robinson,ATL,RB,286.18
17,Jayden Daniels,WAS,QB,284.09
18,Justin Jefferson,MIN,WR,283.21
19,Brock Purdy,SF,QB,282.53
20,Ja'Marr Chase,CIN,WR,281.17
21,Jared Goff,DET,QB,273.78
22,Caleb Williams,CHI,QB,271.30
23,Trevor Lawrence,JAX,QB,270.04
24,A.J. Brown,PHI,WR,266.00
25,Justin Herbert,LAC,QB,262.46
26,Tua Tagovailoa,MIA,QB,260.18
27,Puka Nacua,LAR,WR,257.92
28,Saquon Barkley,PHI,RB,256.56
29,Garrett Wilson,NYJ,WR,254.25
30,Jonathan Taylor,IND,RB,253.92
31,Deshaun Watson,CLE,QB,252.70
32,Kirk Cousins,ATL,QB,251.15
33,Baker Mayfield,TB,QB,247.19
34,Geno Smith,SEA,QB,247.10
35,Aaron Rodgers,NYJ,QB,244.92
36,Jahmyr Gibbs,DET,RB,244.50
37,Chris Olave,NO,WR,244.05
38,Marvin Harrison Jr.,ARI,WR,242.57
39,Davante Adams,LV,WR,242.25
40,Matthew Stafford,LAR,QB,240.28
41,Drake London,ATL,WR,237.88
42,Travis Etienne Jr.,JAX,RB,236.13
43,Derrick Henry,BAL,RB,234.51
44,Mike Evans,TB,WR,233.56
45,Nico Collins,HOU,WR,232.20
46,Will Levis,TEN,QB,231.94
47,Cooper Kupp,LAR,WR,231.69
48,Kyren Williams,LAR,RB,231.59
49,Sam Darnold,MIN,QB,229.58
50,Isiah Pacheco,KC,RB,229.29
51,Derek Carr,NO,QB,228.81
52,DeVonta Smith,PHI,WR,228.06
53,Daniel Jones,NYG,QB,227.35
54,DK Metcalf,SEA,WR,227.26
55,Michael Pittman Jr.,IND,WR,226.32
56,Brandon Aiyuk,SF,WR,225.81
57,De'Von Achane,MIA,RB,225.09
58,Rachaad White,TB,RB,224.82
59,Deebo Samuel Sr.,SF,WR,224.04
60,Josh Jacobs,GB,RB,223.59
61,Bo Nix,DEN,QB,223.58
62,Jaylen Waddle,MIA,WR,222.81
63,James Cook,BUF,RB,222.74
64,Alvin Kamara,NO,RB,222.46
65,Malik Nabers,NYG,WR,221.45
66,Travis Kelce,KC,TE,221.38
67,DJ Moore,CHI,WR,220.05
68,Stefon Diggs,HOU,WR,219.77
69,Bryce Young,CAR,QB,216.25
70,Joe Mixon,HOU,RB,216.01
71,Amari Cooper,CLE,WR,214.54
72,Tee Higgins,CIN,WR,213.66
73,Rashee Rice,KC,WR,212.67
74,Sam LaPorta,DET,TE,212.51
75,Kenneth Walker III,SEA,RB,209.83
76,Terry McLaurin,WAS,WR,209.29
77,George Pickens,PIT,WR,206.69
78,Tank Dell,HOU,WR,206.55
79,Chris Godwin,TB,WR,205.99
80,Zay Flowers,BAL,WR,205.68
81,Christian Kirk,JAX,WR,203.61
82,Calvin Ridley,TEN,WR,201.43
83,Mark Andrews,BAL,TE,201.36
84,James Conner,ARI,RB,196.01
85,Trey McBride,ARI,TE,195.21
86,Rhamondre Stevenson,NE,RB,194.33
87,Aaron Jones,MIN,RB,193.78
88,Keenan Allen,CHI,WR,193.08
89,Diontae Johnson,CAR,WR,192.22
90,David Montgomery,DET,RB,189.73
91,DeAndre Hopkins,TEN,WR,188.40
92,D'Andre Swift,CHI,RB,188.23
93,Jayden Reed,GB,WR,187.89
94,Dalton Kincaid,BUF,TE,187.70
95,Russell Wilson,PIT,QB,187.66
96,Evan Engram,JAX,TE,186.44
97,Jaxon Smith-Njigba,SEA,WR,186.12
98,Najee Harris,PIT,RB,185.85
99,Drake Maye,NE,QB,185.58
100,Courtland Sutton,DEN,WR,185.14
101,Javonte Williams,DEN,RB,185.04
102,Zamir White,LV,RB,184.07
103,Tony Pollard,TEN,RB,181.60
104,George Kittle,SF,TE,181.59
105,Raheem Mostert,MIA,RB,179.52
106,Tyler Lockett,SEA,WR,179.35
107,Xavier Worthy,KC,WR,178.36
108,Jaylen Warren,PIT,RB,178.21
109,Jordan Addison,MIN,WR,177.94
110,Kyle Pitts,ATL,TE,175.97
111,Brian Thomas Jr.,JAX,WR,175.59
112,David Njoku,CLE,TE,175.25
113,Jake Ferguson,DAL,TE,174.46
114,Christian Watson,GB,WR,174.23
115,Rome Odunze,CHI,WR,174.05
116,Brian Robinson Jr.,WAS,RB,173.50
117,Ladd McConkey,LAC,WR,172.69
118,Devin Singletary,NYG,RB,172.41
119,Austin Ekeler,WAS,RB,168.96
120,Tyjae Spears,TEN,RB,167.61
121,Jakobi Meyers,LV,WR,167.06
122,Zack Moss,CIN,RB,165.85
123,Jerry Jeudy,CLE,WR,165.70
124,Keon Coleman,BUF,WR,165.43
125,Jameson Williams,DET,WR,163.96
126,Joshua Palmer,LAC,WR,163.46
127,Curtis Samuel,BUF,WR,162.04
128,Chase Brown,CIN,RB,161.37
129,Khalil Shakir,BUF,WR,161.09
130,Mike Williams,NYJ,WR,160.01
131,Brandin Cooks,DAL,WR,159.53
132,Romeo Doubs,GB,WR,159.26
133,Adam Thielen,CAR,WR,159.15
134,Jerome Ford,CLE,RB,157.86
135,Brock Bowers,LV,TE,157.52
136,Dallas Goedert,PHI,TE,157.12
137,Marquise Brown,KC,WR,156.81
138,Gabe Davis,JAX,WR,156.20
139,Rashid Shaheed,NO,WR,155.53
140,Ezekiel Elliott,DAL,RB,154.12
141,Gardner Minshew II,LV,QB,149.48
142,Demario Douglas,NE,WR,147.60
143,Wan'Dale Robinson,NYG,WR,145.71
144,Jonathon Brooks,CAR,RB,144.51
145,Ja'Lynn Polk,NE,WR,144.40
146,Dalton Schultz,HOU,TE,142.65
147,Gus Edwards,LAC,RB,142.08
148,Nick Chubb,CLE,RB,141.76
149,Michael Wilson,ARI,WR,141.37
150,Darnell Mooney,ATL,WR,139.52
151,Demarcus Robinson,LAR,WR,137.89
152,John Stephens Jr.,DAL,TE,136.88
153,Josh Downs,IND,WR,133.42
154,Chuba Hubbard,CAR,RB,132.74
155,Pat Freiermuth,PIT,TE,132.04
156,Dontayvion Wicks,GB,WR,132.01
157,Adonai Mitchell,IND,WR,131.16
158,Jaleel McLaughlin,DEN,RB,130.13
159,J.K. Dobbins,LAC,RB,129.36
160,Blake Corum,LAR,RB,128.22
161,Antonio Gibson,NE,RB,126.07
162,Rashod Bateman,BAL,WR,126.06
163,Tyler Conklin,NYJ,TE,125.94
164,Travis Etienne Jr.,MIN,TE,123.97
165,Zach Charbonnet,SEA,RB,123.35
166,Ty Chandler,MIN,RB,123.35
167,Hunter Henry,NE,TE,122.06
168,Trey Benson,ARI,RB,120.95
169,Rico Dowdle,DAL,RB,118.80
170,Luke Musgrave,GB,TE,118.45
171,Cole Kmet,CHI,TE,118.23
172,Tyler Allgeier,ATL,RB,116.53
173,Xavier Legette,CAR,WR,116.48
174,Tyler Boyd,TEN,WR,115.92
175,Jalen McMillan,TB,WR,113.91
176,Noah Fant,SEA,TE,112.60
177,Darius Slayton,NYG,WR,112.34
178,Jalen Tolbert,DAL,WR,110.78
179,Juwan Johnson,NO,TE,109.76
180,Josh Reynolds,DEN,WR,108.98
181,DJ Chark,LAC,WR,108.92
182,Marvin Mims Jr.,DEN,WR,107.63
183,Cade Otton,TB,TE,107.39
184,Chigoziem Okonkwo,TEN,TE,107.01
185,Roman Wilson,PIT,WR,106.72
186,Quentin Johnston,LAC,WR,106.71
187,Greg Dortch,ARI,WR,105.71
188,Jalin Hyatt,NYG,WR,105.28
189,Tre Tucker,LV,WR,103.35
190,Andrei Iosivas,CIN,WR,102.91
191,Ricky Pearsall,SF,WR,102.72
192,Jonnu Smith,MIA,TE,101.51
