Name,Team,Position,FantasyPoints,Model
Joe Mixon,HOU,RB,240.50,meta-llama/llama-4-maverick
D'Andre Swift,CHI,RB,212.50,meta-llama/llama-4-maverick
Najee Harris,PIT,RB,204.60,meta-llama/llama-4-maverick
Hunter Henry,NE,TE,145.40,meta-llama/llama-4-maverick
Devin Singletary,NYG,RB,96.60,meta-llama/llama-4-maverick
Ezekiel Elliott,DAL,RB,57.50,meta-llama/llama-4-maverick
Deebo Samuel Sr.,SF,WR,153.60,meta-llama/llama-4-maverick
J.K. Dobbins,LAC,RB,191.80,meta-llama/llama-4-maverick
Jalen Hurts,PHI,QB,315.12,meta-llama/llama-4-maverick
Puka Nacua,LAR,WR,206.60,meta-llama/llama-4-maverick
Kenneth Walker III,SEA,RB,181.20,meta-llama/llama-4-maverick
Jayden Reed,GB,WR,197.00,meta-llama/llama-4-maverick
