Week,Team,Model,Opponent,Player,ResolvedName,Position,Points
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Caleb Williams,Caleb Williams,QB,14.06
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Saquon Barkley,Saquon Barkley,RB,12.40
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,David Montgomery,David Montgomery,RB,19.40
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Ja'Marr Chase,Ja'Marr Chase,WR,45.10
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Jaylen Waddle,Jaylen Waddle,WR,18.90
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Jake Ferguson,Jake Ferguson,TE,6.20
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,Zay Flowers,Zay Flowers,WR,0.00
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Joe Burrow,Joe Burrow,QB,24.56
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Josh Jacobs,Josh Jacobs,RB,24.60
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Rhamondre Stevenson,Rhamondre Stevenson,RB,0.00
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Chris Godwin,Chris Godwin,WR,0.00
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Tee Higgins,Tee Higgins,WR,4.30
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,David Njoku,David Njoku,TE,17.20
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,Brian Robinson Jr.,Brian Robinson Jr.,RB,0.00
14,Gemini_2.5_Pro_Team_5,google/gemini-2.5-flash,Claude_Sonnet_4_Team_2,TOTAL,,,116.06
14,Claude_Sonnet_4_Team_2,openai/gpt-5-mini,Gemini_2.5_Pro_Team_5,TOTAL,,,70.66
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Jared Goff,Jared Goff,QB,22.02
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Jaylen Warren,Jaylen Warren,RB,9.20
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Zack Moss,Zack Moss,RB,0.00
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,DJ Moore,DJ Moore,WR,10.90
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Nico Collins,Nico Collins,WR,0.00
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Trey McBride,Trey McBride,TE,14.00
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,Michael Pittman Jr.,Michael Pittman Jr.,WR,0.00
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,C.J. Stroud,C.J. Stroud,QB,0.00
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,James Conner,James Conner,RB,22.20
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,Raheem Mostert,Raheem Mostert,RB,0.00
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,Stefon Diggs,Stefon Diggs,WR,0.00
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,DeAndre Hopkins,DeAndre Hopkins,WR,13.20
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,Kyle Pitts,Kyle Pitts,TE,2.40
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,Jerome Ford,Jerome Ford,RB,7.70
14,GPT_5_Team_9,anthropic/claude-sonnet-4,GPT_5_Mini_Team_10,TOTAL,,,56.12
14,GPT_5_Mini_Team_10,openai/gpt-oss-120b,GPT_5_Team_9,TOTAL,,,45.50
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Claude_Opus_4.1_Team_8,Josh Allen,Josh Allen,QB,51.88
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Claude_Opus_4.1_Team_8,Rachaad White,Rachaad White,RB,24.90
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Claude_Opus_4.1_Team_8,De'Von Achane,De'Von Achane,RB,18.90
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Claude_Opus_4.1_Team_8,Amari Cooper,Amari Cooper,WR,15.50
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Claude_Opus_4.1_Team_8,Calvin Ridley,Calvin Ridley,WR,12.90
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Claude_Opus_4.1_Team_8,Austin Ekeler,Austin Ekeler,RB,0.00
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Gemini_2.5_Flash_Team_6,Lamar Jackson,Lamar Jackson,QB,0.00
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Gemini_2.5_Flash_Team_6,Kyren Williams,Kyren Williams,RB,23.70
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Gemini_2.5_Flash_Team_6,Derrick Henry,Derrick Henry,RB,0.00
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Gemini_2.5_Flash_Team_6,CeeDee Lamb,CeeDee Lamb,WR,21.40
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Gemini_2.5_Flash_Team_6,A.J. Brown,A.J. Brown,WR,8.30
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Gemini_2.5_Flash_Team_6,Luke Musgrave,Luke Musgrave,TE,0.00
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Gemini_2.5_Flash_Team_6,Bijan Robinson,Bijan Robinson,RB,18.10
14,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,Claude_Opus_4.1_Team_8,TOTAL,,,124.08
14,Claude_Opus_4.1_Team_8,openai/gpt-5,Gemini_2.5_Flash_Team_6,TOTAL,,,71.50
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_OSS_Team_3,Trevor Lawrence,Trevor Lawrence,QB,0.00
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_OSS_Team_3,Tony Pollard,Tony Pollard,RB,14.40
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_OSS_Team_3,Javonte Williams,Javonte Williams,RB,0.00
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_OSS_Team_3,Tyreek Hill,Tyreek Hill,WR,28.10
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_OSS_Team_3,Chris Olave,Chris Olave,WR,0.00
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_OSS_Team_3,Mark Andrews,Mark Andrews,TE,0.00
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_OSS_Team_3,Diontae Johnson,Diontae Johnson,WR,0.00
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Llama_4_Maverick_Team_7,Brock Purdy,Brock Purdy,QB,22.10
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Llama_4_Maverick_Team_7,Alvin Kamara,Alvin Kamara,RB,12.90
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Llama_4_Maverick_Team_7,Aaron Jones,Aaron Jones,RB,16.40
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Llama_4_Maverick_Team_7,Terry McLaurin,Terry McLaurin,WR,0.00
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Llama_4_Maverick_Team_7,George Pickens,George Pickens,WR,0.00
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Llama_4_Maverick_Team_7,Pat Freiermuth,Pat Freiermuth,TE,13.80
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Llama_4_Maverick_Team_7,Dallas Goedert,Dallas Goedert,TE,0.00
14,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_OSS_Team_3,TOTAL,,,42.50
14,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Llama_4_Maverick_Team_7,TOTAL,,,65.20
14,Kimi_K2_Team_4,qwen/qwen3-max,Qwen_3_Max_Team_1,Patrick Mahomes,Patrick Mahomes,QB,14.10
14,Kimi_K2_Team_4,qwen/qwen3-max,Qwen_3_Max_Team_1,Chuba Hubbard,Chuba Hubbard,RB,20.70
14,Kimi_K2_Team_4,qwen/qwen3-max,Qwen_3_Max_Team_1,Jonathan Taylor,Jonathan Taylor,RB,0.00
14,Kimi_K2_Team_4,qwen/qwen3-max,Qwen_3_Max_Team_1,Davante Adams,Davante Adams,WR,25.90
14,Kimi_K2_Team_4,qwen/qwen3-max,Qwen_3_Max_Team_1,Mike Evans,Mike Evans,WR,10.90
14,Kimi_K2_Team_4,qwen/qwen3-max,Qwen_3_Max_Team_1,George Kittle,George Kittle,TE,21.10
14,Kimi_K2_Team_4,qwen/qwen3-max,Qwen_3_Max_Team_1,Christian McCaffrey,Christian McCaffrey,RB,0.00
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,Kimi_K2_Team_4,Jalen Hurts,Jalen Hurts,QB,24.22
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,Kimi_K2_Team_4,Joe Mixon,Joe Mixon,RB,0.00
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,Kimi_K2_Team_4,Kenneth Walker III,Kenneth Walker III,RB,0.00
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,Kimi_K2_Team_4,Puka Nacua,Puka Nacua,WR,41.80
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,Kimi_K2_Team_4,Jayden Reed,Jayden Reed,WR,0.00
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,Kimi_K2_Team_4,Hunter Henry,Hunter Henry,TE,0.00
14,Qwen_3_Max_Team_1,meta-llama/llama-4-maverick,Kimi_K2_Team_4,D'Andre Swift,D'Andre Swift,RB,5.00
