Name,Team,Position,FantasyPoints,Model
Joe Mixon,HOU,RB,240.50,meta-llama/llama-4-maverick
Javonte Williams,DEN,RB,157.90,meta-llama/llama-4-maverick
Aaron Jones,MIN,RB,241.60,meta-llama/llama-4-maverick
Jerome Ford,CLE,RB,134.00,meta-llama/llama-4-maverick
Zack Moss,CIN,RB,81.90,meta-llama/llama-4-maverick
Antonio Gibson,NE,RB,103.40,meta-llama/llama-4-maverick
Josh Jacobs,GB,RB,293.10,meta-llama/llama-4-maverick
Malik Nabers,NYG,WR,271.60,meta-llama/llama-4-maverick
Jared Goff,DET,QB,322.46,meta-llama/llama-4-maverick
De'Von Achane,MIA,RB,299.90,meta-llama/llama-4-maverick
Trey McBride,ARI,TE,249.80,meta-llama/llama-4-maverick
Jayden Reed,GB,WR,197.00,meta-llama/llama-4-maverick
