Name,Team,Position,FantasyPoints,Model
Tyreek Hill,MIA,WR,218.20,moonshotai/kimi-k2-0905
Travis Kelce,KC,TE,195.40,moonshotai/kimi-k2-0905
Evan Engram,JAX,TE,87.50,moonshotai/kimi-k2-0905
Marvin Harrison Jr.,ARI,WR,196.50,moonshotai/kimi-k2-0905
Dallas Goedert,PHI,TE,103.60,moonshotai/kimi-k2-0905
Brock Bowers,LV,TE,262.70,moonshotai/kimi-k2-0905
Malik Nabers,NYG,WR,271.60,moonshotai/kimi-k2-0905
Dalton Schultz,HOU,TE,118.20,moonshotai/kimi-k2-0905
Pat Freiermuth,PIT,TE,168.30,moonshotai/kimi-k2-0905
Trevor Lawrence,JAX,QB,139.20,moonshotai/kimi-k2-0905
Hunter Henry,NE,TE,145.40,moonshotai/kimi-k2-0905
Keenan Allen,CHI,WR,184.40,moonshotai/kimi-k2-0905
