Week,Team,Model,Opponent,Player,ResolvedName,Position,Points
16,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Gemini_2.5_Flash_Team_6,Josh Allen,Josh Allen,QB,11.16
16,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Gemini_2.5_Flash_Team_6,James Cook,James Cook,RB,27.60
16,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Gemini_2.5_Flash_Team_6,Aaron Jones,Aaron Jones,RB,12.30
16,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Gemini_2.5_Flash_Team_6,Jaxon Smith-Njigba,Jaxon Smith-Njigba,WR,24.00
16,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Gemini_2.5_Flash_Team_6,Zay Flowers,Zay Flowers,WR,15.30
16,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Gemini_2.5_Flash_Team_6,Jonnu Smith,Jonnu Smith,TE,12.20
16,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Gemini_2.5_Flash_Team_6,Brian Robinson Jr.,Brian Robinson Jr.,RB,2.10
16,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,GPT_OSS_Team_3,C.J. Stroud,C.J. Stroud,QB,16.06
16,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,GPT_OSS_Team_3,David Montgomery,David Montgomery,RB,0.00
16,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,GPT_OSS_Team_3,Raheem Mostert,Raheem Mostert,RB,6.60
16,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,GPT_OSS_Team_3,Drake London,Drake London,WR,10.90
16,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,GPT_OSS_Team_3,George Pickens,George Pickens,WR,0.00
16,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,GPT_OSS_Team_3,DeAndre Hopkins,DeAndre Hopkins,WR,7.70
16,GPT_OSS_Team_3,anthropic/claude-opus-4.1,Gemini_2.5_Flash_Team_6,TOTAL,,,104.66
16,Gemini_2.5_Flash_Team_6,google/gemini-2.5-pro,GPT_OSS_Team_3,TOTAL,,,41.26
16,GPT_5_Team_9,anthropic/claude-sonnet-4,Llama_4_Maverick_Team_7,Jayden Daniels,Jayden Daniels,QB,34.42
16,GPT_5_Team_9,anthropic/claude-sonnet-4,Llama_4_Maverick_Team_7,Derrick Henry,Derrick Henry,RB,20.90
16,GPT_5_Team_9,anthropic/claude-sonnet-4,Llama_4_Maverick_Team_7,Blake Corum,Blake Corum,RB,1.40
16,GPT_5_Team_9,anthropic/claude-sonnet-4,Llama_4_Maverick_Team_7,Puka Nacua,Puka Nacua,WR,13.60
16,GPT_5_Team_9,anthropic/claude-sonnet-4,Llama_4_Maverick_Team_7,Michael Pittman Jr.,Michael Pittman Jr.,WR,3.90
16,GPT_5_Team_9,anthropic/claude-sonnet-4,Llama_4_Maverick_Team_7,David Njoku,David Njoku,TE,14.60
16,GPT_5_Team_9,anthropic/claude-sonnet-4,Llama_4_Maverick_Team_7,Amari Cooper,Amari Cooper,WR,2.00
16,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_5_Team_9,Trevor Lawrence,Trevor Lawrence,QB,0.00
16,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_5_Team_9,Tyreek Hill,Tyreek Hill,WR,11.90
16,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_5_Team_9,Malik Nabers,Malik Nabers,WR,13.80
16,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_5_Team_9,Pat Freiermuth,Pat Freiermuth,TE,4.60
16,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_5_Team_9,Keenan Allen,Keenan Allen,WR,29.10
16,Llama_4_Maverick_Team_7,moonshotai/kimi-k2-0905,GPT_5_Team_9,Travis Kelce,Travis Kelce,TE,8.00
16,GPT_5_Team_9,anthropic/claude-sonnet-4,Llama_4_Maverick_Team_7,TOTAL,,,90.82
